Source,Target
84381,78825
84381,8889
84381,27708
84381,83746
80295,6359
80295,14715
80295,9244
80295,30355
80295,21364
80295,36018
80295,27639
80295,28677
80295,25713
129448,10427
129448,18166
129448,15344
129448,49248
129448,19941
129448,15346
129448,7861
129448,30355
129448,29932
14764,6363
14764,9500
14764,23273
14764,68773
14764,63454
14764,8668
14764,68793
14764,68797
14764,6714
14764,7805
14764,52198
14764,6667
14764,7803
14764,46982
14764,23879
317873,84305
317873,16559
317873,8926
317873,12628
317873,12792
317873,12639
317873,14017
317873,6679
317873,5762
317873,60604
317873,200316
317873,63454
317873,17303
35249,7839
35249,115454
35249,77393
35249,24025
35249,8950
35249,70010
35249,39744
35249,25416
35249,379
35249,18228
27059,10987
27059,129775
27059,130020
82356,16095
82356,30404
82356,17537
82356,8950
82356,69236
82356,82662
82356,55202
82356,213565
82356,25416
14774,403852
14774,39785
14774,12706
14774,7568
14774,11412
14774,12792
14774,23879
14774,36931
14774,39063
14774,6714
14774,34726
14774,18873
14774,9708
14774,75153
14774,17420
84411,8889
84411,6684
84411,12349
84411,7568
84411,7867
84411,61207
6595,9472
6595,9500
6595,9536
6595,9539
6595,5648
6595,9610
6595,9613
6595,9644
6595,9655
6595,9670
6595,9679
6595,9708
6595,9788
6595,7729
8649,69203
8649,69216
8649,69236
8649,69314
8649,69436
22987,6551
22987,24791
22987,23949
22987,29932
22987,73724
22987,8889
22987,14715
22987,15364
22987,31867
22987,48684
22987,7540
92633,29279
92633,16579
92633,34726
4570,21133
4570,17303
4570,18873
4570,14897
4570,7568
4570,167
4570,12792
4570,24012
4570,25416
4570,55202
4570,11606
4570,119408
4570,70010
4570,12642
272865,5658
272865,33103
272865,29674
272865,164966
272865,11612
272865,8593
272865,12000
272865,6684
272865,30483
57827,170
57827,6389
57827,6363
57827,83300
57827,6684
57827,1434
57827,12792
57827,52589
57827,36844
68068,8889
68068,27533
68068,30404
68068,31937
68068,8950
68068,14094
68068,14715
57838,6551
57838,6389
57838,29932
57838,19941
57838,14715
57838,15344
57838,75285
57838,17603
33264,6551
33264,14602
33264,8668
33264,12688
33264,14633
33264,14017
33264,180229
33264,17420
33264,180248
33264,170072
33264,7540
33264,12000
61938,10755
61938,10489
61938,53061
61938,77453
61938,80822
61938,18166
61938,69236
61938,37640
57860,19941
57860,12642
57860,12706
57860,8950
57860,6389
57860,30294
57860,14715
57860,7540
57860,14633
57860,55202
57860,21033
57860,54830
57860,10182
57860,7861
57860,25209
57860,73049
57860,15926
57860,5762
12809,11271
12809,7786
12809,61396
