,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees
273,62990,99047,1,0.006000218904222919,0.0003324788030148493,2,3,157,3,2,1,1
274,62990,99048,1,0.006000218904222919,0.0008122474060280836,3,3,157,1,0,0,0
275,62990,99049,1,0.006000218904222919,0.00033627434628035033,3,3,157,3,0,0,0
276,62990,99051,1,0.006000218904222919,0.00033627434628035033,3,3,157,3,0,0,0
277,62990,62960,1,0.006000218904222919,0.0019029333913983004,2,3,157,3,0,2,0
278,62990,63074,1,0.006000218904222919,0.0018893426313873107,2,3,157,2,0,1,0
279,62990,99053,1,0.006000218904222919,0.0007059060825050254,3,3,157,3,0,0,0
280,62990,99054,1,0.006000218904222919,0.0009146959540555744,2,3,157,4,0,1,0
281,62990,99055,1,0.006000218904222919,0.0004922184675898499,2,3,157,2,0,1,0
282,62990,90849,1,0.006000218904222919,0.0003358809373505573,4,3,157,2,0,0,0
283,62990,99057,1,0.006000218904222919,0.002185656482026996,3,3,157,1,1,0,0
284,62990,99058,1,0.006000218904222919,0.00038196397575321946,5,3,157,1,0,0,0
285,62990,99059,1,0.006000218904222919,0.0012569226361162206,2,3,157,3,4,1,0
286,62990,99060,1,0.006000218904222919,0.0005541583864301139,3,3,157,2,0,0,0
287,62990,99061,1,0.006000218904222919,0.0007207462112087109,3,3,157,3,287,0,47
288,62990,63064,1,0.006000218904222919,0.001002054030458642,2,3,157,5,0,1,0
289,62990,99062,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
290,62990,99064,1,0.006000218904222919,0.00042087870555702385,4,3,157,2,0,0,0
291,62990,99066,1,0.006000218904222919,0.0009258550355210817,2,3,157,4,0,1,0
292,62990,99067,1,0.006000218904222919,0.0009995932221071938,2,3,157,3,4,0,0
293,62990,99070,1,0.006000218904222919,0.0014468600044075918,3,3,157,3,1,0,0
294,62990,99071,1,0.006000218904222919,0.00041604883711049315,4,3,157,2,0,0,0
295,62990,99072,1,0.006000218904222919,0.004013935609096346,3,3,157,2,0,0,0
296,62990,90878,1,0.006000218904222919,0.001257207657525422,2,3,157,5,0,1,0
297,62990,99073,1,0.006000218904222919,0.0006638244113527723,3,3,157,1,3,0,0
298,62990,90854,1,0.006000218904222919,0.0015601882561074283,3,3,157,3,0,0,0
299,62990,99074,1,0.006000218904222919,0.0017594119440487812,2,3,157,4,1,0,1
300,62990,99076,1,0.006000218904222919,0.003198083178572359,3,3,157,2,0,0,0
301,62990,99080,1,0.006000218904222919,0.0010205462572961475,3,3,157,3,0,0,0
302,62990,99082,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
303,62990,63225,1,0.006000218904222919,0.0004670994954712675,3,3,157,5,1,1,0
304,62990,62936,1,0.006000218904222919,0.0013324945249205407,2,3,157,4,1,2,0
305,62990,99085,1,0.006000218904222919,0.0003289929089142675,2,3,157,2,0,1,0
306,62990,99086,1,0.006000218904222919,0.0014607936438629375,3,3,157,3,2,0,0
307,62990,63090,1,0.006000218904222919,0.00034284451042371504,3,3,157,4,0,1,0
308,62990,99087,1,0.006000218904222919,0.0007328997224965875,3,3,157,2,0,0,0
309,62990,62939,1,0.006000218904222919,0.0007289932305608725,2,3,157,4,0,2,0
310,62990,99088,1,0.006000218904222919,0.00034273102549239095,3,3,157,2,1,0,1
311,62990,62934,1,0.006000218904222919,0.0009502787346222352,2,3,157,6,0,2,0
312,62990,99091,1,0.006000218904222919,0.0004578426837568646,3,3,157,2,0,0,0
313,62990,99099,1,0.006000218904222919,0.0006714095003356535,2,3,157,2,0,1,0
314,62990,99100,1,0.006000218904222919,0.0007868484270136451,2,3,157,2,2,0,0
315,62990,99101,1,0.006000218904222919,0.000947572969449929,3,3,157,1,0,0,0
316,62990,40857,1,0.006000218904222919,0.0006873387620886535,2,3,157,3,2,1,0
317,62990,99102,1,0.006000218904222919,0.001016395900335443,4,3,157,2,2,0,0
